2026-01-17 22:23:17,848 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 22:23:17,956 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 22:23:18,667 - INFO - Scraping channel: CheMed123
2026-01-17 22:23:20,124 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:21,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:23,682 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:25,574 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:27,494 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:29,496 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:31,495 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:33,260 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:36,682 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:38,884 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:40,896 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:42,927 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:44,757 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:46,547 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:48,838 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:50,634 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:53,212 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:55,554 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:23:57,873 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:00,144 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:02,678 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:05,427 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:07,669 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:09,879 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:12,243 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:15,668 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:17,491 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:19,418 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:22,123 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:24,433 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:28,587 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:31,277 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:34,155 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:35,918 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:37,625 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:40,271 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:42,061 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:43,854 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:45,562 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:47,486 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:49,709 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:51,438 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:53,176 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:54,920 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:56,807 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:24:58,954 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:00,888 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:02,747 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:04,305 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:06,627 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:08,420 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:10,779 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:12,533 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:14,265 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:15,799 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:17,535 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:20,004 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:22,500 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:24,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:26,050 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:27,847 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:29,946 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:32,507 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:34,457 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:36,522 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:41,041 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:42,378 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:25:43,849 - INFO - Completed CheMed123: 76 messages
2026-01-17 22:25:43,849 - INFO - Waiting 20s before next channel
2026-01-17 22:26:03,859 - INFO - Scraping channel: tikvahpharma
2026-01-17 22:26:06,893 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:08,457 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:09,749 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:14,626 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:16,150 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:18,647 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:23,053 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:25,285 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:30,025 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:32,211 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:33,867 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:35,865 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:37,860 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:41,495 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:46,020 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:49,904 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:52,629 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:54,263 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:26:58,112 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:07,346 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:18,941 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:21,375 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:32,578 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:38,157 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:44,528 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:51,028 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:27:53,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:00,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:04,955 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:08,524 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:18,059 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:19,984 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:21,486 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:26,711 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:29,158 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:35,411 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:39,797 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:42,481 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:44,419 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:50,969 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:56,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:28:58,088 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:01,851 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:05,612 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:10,755 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:15,552 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:18,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:23,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:31,089 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:51,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:29:58,785 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:06,975 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:16,424 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:17,997 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:19,536 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:22,140 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:25,237 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:44,593 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:49,856 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:30:52,470 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:00,889 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:03,442 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:08,510 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:10,308 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:12,946 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:18,714 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:21,879 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:29,296 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:30,902 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:32,216 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:38,216 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:39,970 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:41,507 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:43,780 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:45,538 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:48,526 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:52,484 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:54,234 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:31:56,850 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:04,881 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:06,197 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:07,533 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:10,329 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:11,640 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:13,235 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:18,065 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:21,508 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:23,725 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:25,212 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:27,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:28,875 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:31,504 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:44,421 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:48,283 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:50,669 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:52,504 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:54,025 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:55,844 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:32:57,620 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:33:00,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 22:33:04,041 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
